amount,ID,DESCRIPCION,ATK,DEF,LVL,REINO,NOMBRE,
1,2MBNT2025_05,Inocente espíritu del bosque que procura el cuidado de las diferentes plantas en la zona donde reside.,ATK=350,DEF=1100,LVL. I,Natura,Cuidadora de Jardín,
1,2MBNT2025_06,Un guerrero noble que siempre busca el bienestar de su reino.,ATK=1200,DEF=1500,LVL. II,Natura,Un Guerrero Joven,
1,2MBNT2025_07,Esta nodriza vigila los bosques a la espera de cualquier amenaza.,ATK=800,DEF=1100,LVL. III,Natura,Nodriza Espiritual,
1,2MBNT2025_08,Pequeña acompañante de los seres del bosque. Su propósito es incentivar la reproducción de las plantas.,ATK=1200,DEF=1500,LVL. IV,Natura,Polinizadora,
1,2MBNT2025_09,"Semillera y gestora de plantas dentro del reino del bosque, fiel seguidora de su Reina.",ATK=1750,DEF=1900,LVL. V,Natura,Semillera de Flores,
1,2MBNT2025_10,Valiente guerrero que usa su lanza mística para defender su reino.,ATK=2000,DEF=2100,LVL. V,Natura,Caballero de Fuego,
1,2MBNT2025_11,Un sabio monarca que busca preservar su refugio de especies.,ATK=2700,DEF=2750,LVL. VII,Natura,Monarca de Luz,
1,2MBN2025_05,Lacayo de la Reina. Usualmente es utilizado como sacrificio o para el consumo de criaturas de mayor jerarquía en el reino.,ATK=1000,DEF=1300,LVL. I,Nicrom,Vespertilio,
1,2MBN2025_06,"Cazador de espiritus, su misión es llevar la mayor cantidad de almas a su Reina.",ATK=1350,DEF=1400,LVL. II,Nicrom,Anima Hunter,
1,2MBN2025_07,Demonio seductor. Busca principalmente seres débiles a las tentaciones para alimentarse de sus deseos.,ATK=1400,DEF=1500,LVL. III,Nicrom,Pulchra Fata,
1,2MBN2025_08,Domador de las Bestias infernales del reino. Es capaz de alienar las más feroces para poder utilizarlas en enfrentamientos o en defensa del reino.,ATK=1500,DEF=1600,LVL. IV,Nicrom,Anguis Duz,
1,2MBN2025_09,Guerrero de la Reina. Usualmente es de los más confiables para defender al reino en batalla.,ATK=1700,DEF=1800,LVL. V,Nicrom,Infernum Domitor,
