amount,ID,DESCRIPCION,TIPO,NOMBRE,
1,2MBNT2025_12,Puedes usar este Conjuro como una Bestia del bosque LVL II con: ATK 500 / DEF 500. Tú eliges la posición de Combate.,Conjuro,  Alteración del Orden Natural ,
1,2MBNT2025_13,"Al activar esta carta, los puntos de tus Bestias no se ven afectados en las Fases de Combate hasta tu siguiente Turno. Envía esta carta al Cementerio al finalizar tu siguiente Turno.",Conjuro, Reino del Este,
1,2MBNT2025_14,"Utiliza esta carta cuando no tengas Bestias en la Arena. Puedes llamar desde tu Mano, Cementerio o Mazo, una Bestia LVL IV o dos Bestias LVL II. Envía esta carta al Cementerio después de activarla.",Conjuro,  Terrenos del Conde Idril  ,
1,2MBNT2025_15,"Selecciona una Bestia de tu adversario, puedes usarla como uno de tus tributos para invocar otra Bestia de máx. LVL VI. Envía esta carta al Cementerio después de activarla.",Conjuro,  Tierras Olvidadas del Norte  ,
1,2MBNT2025_16,"Si aún no has invocado Bestias, roba una carta del Mazo. Este turno no puedes invocar por Tributo. Envía esta carta al Cementerio después de activarla.",Conjuro,Colección de Conocimiento,
1,2MBN2025_12,"Si tienes más de dos Bestias de tipo Nicrom en tu Cementerio, puedes escoger dos y sumar los LVL's para invocar desde tu Mazo otra Bestia que tenga el LVL del resultado de dicha suma. Envía esta carta al Cementerio después de usarla.",Conjuro, Sombras de Refuerzo ,
1,2MBN2025_13,"Si tienes más de una Bestia en tu Cementerio, puedes seleccionar hasta dos de ellas y devolverlas al Mazo. Envía esta carta al Cementerio después de usarla.",Conjuro,Pequeñas Pestes,
1,2MBN2025_14,"Puedes devolver una Bestia de la Arena a tu Mano (máx. LVL V), luego, selecciona una Bestia de la Arena de tu oponente del mismo LVL o menor, y devuélvela a su Mano. Envía esta carta al Cementerio después de activarla.",Conjuro, Negociación de Tierras Baldías ,
1,2MBN2025_15,"Puedes seleccionar una Bestia en tu Arena, después de eso, selecciona una Bestia de igual LVL en la Arena de tu adversario. Envía ambas al Cementerio. Envia esta carta al Cementerio después de activarla.",Conjuro, Demonios Juguetones ,
1,2MBN2025_16,"Si solamente tenías este Conjuro en tu Mano, enseña las cartas que quedaron. Luego puedes enviar esta carta de la Arena al Cementerio para elegir un nuevo Conjuro en tu Mazo y ponerlo en tu Mano. El nuevo Conjuro no puede ser activado este Turno. Envía esta carta al Cementerio después de usarla.",Conjuro, Ritual de Aprendizaje ,
1,2MBA2025_12,"Si controlas una Bestia con menos de 1000 puntos de ATK, aumentale 1000 puntos hasta el final del Turno. Envía esta carta al Cementerio después de activarla.",Conjuro,Ráfaga de la Tempestad,
1,2MBA2025_13,Invoca desde tu Cementerio a una Bestia Aqua de LVL IV o menor en posición de ataque. No puede atacar en este Turno. Envía esta carta al Cementerio después de activarla.,Conjuro,Llamado del Abismo,
1,2MBA2025_14,Selecciona una Bestia enemiga; reduce su ATK en 500 puntos hasta el final del Turno. Envía esta carta al Cementerio después de activarla.,Conjuro,Veneno Silencioso,
1,2MBA2025_15,Aumenta la DEF de todas las Bestias en tu Arena en posición de defensa en 1000 puntos. Este efecto dura hasta el final del Turno del oponente. Luego envía esta carta al Cementerio.,Conjuro,Muralla de Escamas,
1,2MBA2025_16,"Restaura el valor original de los puntos de ATK y DEF de tus Bestias en la Arena, incluida tu Reina. Envía esta carta al Cementerio después de usarla.",Conjuro,Lluvia Curativa,
1,2MBP2025_12,"Si quieres hacer una invocación por Tributo pero las Bestias en tu Arena superan el LVL de la Bestia que quieres invocar, ajusta el resultado de la suma y convoca por Tributo normalmente. Envía esta carta al Cementerio después de usarla.",Conjuro,Ritual de Nivelación,
1,2MBP2025_13,"Roba dos cartas de tu Mazo. Si alguna de las dos no es una Bestia LVL III o menor, devuelve al Mazo aquellas que no cumplan esta condición. Envía esta carta al Cementerio después de usarla.",Conjuro,Codicia de Tributo,
1,2MBP2025_14,"Si tu Reina no tiene mas de 2000 puntos, puedes equiparle esta carta. Súmale 500 puntos. Si tu reina superó los 2000 puntos, en el próximo Turno, desequipa esta carta y envíala al Cementerio, luego, réstale 700 puntos a tu Reina.",Conjuro,Rescate Real,
1,2MBP2025_15,"Si tributaste Bestias en este Turno, puedes devolver uno de los tributos a la Arena en la posición que eligas al final del Turno. Si la Bestia tiene Habilidad Esp, esta ya no se podrá utilizar.",Conjuro,Renovación del Espíritu,
1,2MBP2025_16,"Si tu oponente tiene Conjuros o Recursos en el Cementerio, puedes seleccionar uno y ponerlo en tu Arena boca abajo. Podrás utilizar dicha carta a partir de tu siguiente Turno. Envía esta carta al Cementerio después de activarla.",Conjuro,Profanación al Alma,
1,2SSC2025_16,"Selecciona una Bestia del Cementerio de tu adversario y conviértela en ""Equipo"" para una Bestia normal en tu Arena. La Bestia equipada adquiere la siguiente Habilidad Esp: al ser atacada, puedes finalizar la Fase de Combate retirando el ""Equipo"". Si la Habilidad Esp es negada, retira el ""Equipo"" igualmente. Este Conjuro va al Cementerio después de que se haya retirado el ""Equipo"".",Conjuro,Evolucion a la Bestia,
1,2SSC2025_17,La Habilidad Esp de tu Reina no puede ser negada hasta el final de tu próximo Turno. Envía esta carta al Cementerio después de usarla.,Conjuro,Velo de la Corona,
